Key,English,Bahasa,Chinese,Bengali,Tamil
leaderboard,Leaderboard,Papan Peringkat,排行榜,লিডারবোর্ড,முன்னணி பலகை
leaderboard_rank,Rank,Peringkat,排名,র‍্যাঙ্ক,தரவரிசை
leaderboard_name,Name,Nama,名字,নাম,பெயர்
leaderboard_score,Score,Skor,得分,স্কোর,மதிப்பெண்
main_start_game,Start,"Mulai",开始,শুরু,"
தொடங்கு"
main_play_game,Play,Main,开始,খেলা,விளையாடு
main_select,Select,Pilih,选择,নির্বাচন,தேர்வு செய்
vehicle_selection_bike,Bike,Sepeda Motor,自行车,বাইক,மோட்டார் சைக்கிள்
vehicle_selection_car,Car,Mobil,汽车,গাড়ি,கார்
vehicle_selection_truck,Truck,Truk,卡车,ট্রাক,லாரி
vehicle_selection_vehicle,Vehicle,Kendaraan,交通工具,যানবাহন,வாகனம்
vehicle_selection_header,Select Vehicle,Pilih Kendaraan,选择交通工具,যানবাহন নির্বাচন করুন,வாகனம் தேர்வு செய்
vehicle_selection_select_vehicle,Vehicle: {0},Kendaraan: {0},交通工具: {0},যানবাহন: {0},வாகனம்: {0}
level_selection_header,Select Level,Pilih Level,选择级别,স্তর নির্বাচন করুন,நிலையைத் தேர்ந்தெடு
level_selection_select_level,Region: {0},Wilayah: {0},区域: {0},অঞ্চল: {0},பகுதி: {0}
adjust_speed,Choose Speed,Pilih Kecepatan,选择时速,গতি নির্বাচন করুন,வேகத்தைத் தேர்வு செய்
adjust_speed_note,"Note : MIN Speed is 40, MAX Speed is 120","Catatan: Kecepatan Minimum adalah 40, Maksimum 120","注意: 最低时速为40, 最高时速为120","নোট: সর্বনিম্ন গতি ৪০, সর্বাধিক গতি ১২০","குறிப்பு: குறைந்தபட்ச வேகம் 40, அதிகபட்சம் 120"
setting,Settings,Pengaturan,设置,সেটিংস,அமைப்புகள்
setting_audio,Audio,Audio,音频,অডিও,ஒலி
setting_audio_master,Master Volume,Volume Utama,主音量,মাস্টার ভলিউম,மாஸ்டர் ஒலி
setting_audio_bgm,BGM Volume,Volume Musik Latar,背景音乐音量,ব্যাকগ্রাউন্ড মিউজিক ভলিউম,பின்னணி இசை ஒலி
setting_audio_sfx,SFX Volume,Volume Efek Suara,音效音量,বিশেষ প্রভাব ভলিউম,சிறப்பு ஒலி
setting_audio_ui_sfx,UI SFX Volume,Volume Efek Suara Antarmuka Pengguna,用户界面音效音量,ইউআই বিশেষ প্রভাব ভলিউম,பயனர் இடைமுக சிறப்பு ஒலி
rotation_warning,Please rotate your device to landscape mode.,Silakan putar perangkat Anda ke mode landscape.,请将您的设备旋转到横屏模式。,অনুগ্রহ করে আপনার ডিভাইসটি ল্যান্ডস্কেপ মোডে ঘুরিয়ে দিন।,உங்கள் சாதனத்தை பரந்ததிரையில் திருப்பவும்.
btn_return_home,Return to Home,Kembali ke Menu Utama,返回主页,বাড়িতে ফিরে যান,முகப்புக்கு திரும்பு
menu_exit,Quit,Keluar,退出,ছাড়,வெளியேறு
